evidence_id,car_id,car_code,theme,source_name,source_url,download_date,source_version,geometry_operation,area_ha,percent_of_property,confidence,interpretation,limitation,created_at
EV-CAR04-DESM-014,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,MapBiomas Alerta,http://production.alerta.mapbiomas.org/geoserver/mapbiomas-alertas/wfs,2026-06-14,,intersection,18.5746,0.2069,Alta,Sobreposição de 18.57 ha (0.21%) com Desmatamento.,,2026-06-14T20:50:58.349496+00:00
EV-CAR04-DESM-015,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,MapBiomas Alerta,http://production.alerta.mapbiomas.org/geoserver/mapbiomas-alertas/wfs,2026-06-14,,intersection,3.0677,0.0342,Alta,Sobreposição de 3.07 ha (0.03%) com Desmatamento.,,2026-06-14T20:50:58.370187+00:00
EV-CAR04-DESM-016,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,MapBiomas Alerta,http://production.alerta.mapbiomas.org/geoserver/mapbiomas-alertas/wfs,2026-06-14,,intersection,3.5788,0.0399,Alta,Sobreposição de 3.58 ha (0.04%) com Desmatamento.,,2026-06-14T20:50:58.396089+00:00
EV-CAR04-DESM-017,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,MapBiomas Alerta,http://production.alerta.mapbiomas.org/geoserver/mapbiomas-alertas/wfs,2026-06-14,,intersection,0.3972,0.0044,Alta,Sobreposição de 0.40 ha (0.00%) com Desmatamento.,,2026-06-14T20:50:58.417062+00:00
EV-CAR04-DESM-018,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,MapBiomas Alerta,http://production.alerta.mapbiomas.org/geoserver/mapbiomas-alertas/wfs,2026-06-14,,intersection,5.9393,0.0662,Alta,Sobreposição de 5.94 ha (0.07%) com Desmatamento.,,2026-06-14T20:50:58.439649+00:00
EV-CAR04-DESM-019,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,MapBiomas Alerta,http://production.alerta.mapbiomas.org/geoserver/mapbiomas-alertas/wfs,2026-06-14,,intersection,2.1022,0.0234,Alta,Sobreposição de 2.10 ha (0.02%) com Desmatamento.,,2026-06-14T20:50:58.459968+00:00
EV-CAR04-DESM-020,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,MapBiomas Alerta,http://production.alerta.mapbiomas.org/geoserver/mapbiomas-alertas/wfs,2026-06-14,,intersection,14.0058,0.156,Alta,Sobreposição de 14.01 ha (0.16%) com Desmatamento.,,2026-06-14T20:50:58.481892+00:00
EV-CAR04-DESM-021,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,MapBiomas Alerta,http://production.alerta.mapbiomas.org/geoserver/mapbiomas-alertas/wfs,2026-06-14,,intersection,6.3918,0.0712,Alta,Sobreposição de 6.39 ha (0.07%) com Desmatamento.,,2026-06-14T20:50:58.501873+00:00
EV-CAR04-DESM-022,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,MapBiomas Alerta,http://production.alerta.mapbiomas.org/geoserver/mapbiomas-alertas/wfs,2026-06-14,,intersection,0.0672,0.0007,Alta,Sobreposição de 0.07 ha (0.00%) com Desmatamento.,,2026-06-14T20:50:58.521815+00:00
EV-CAR04-DESM-023,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,MapBiomas Alerta,http://production.alerta.mapbiomas.org/geoserver/mapbiomas-alertas/wfs,2026-06-14,,intersection,10.6585,0.1187,Alta,Sobreposição de 10.66 ha (0.12%) com Desmatamento.,,2026-06-14T20:50:58.545722+00:00
EV-CAR04-DESM-024,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,MapBiomas Alerta,http://production.alerta.mapbiomas.org/geoserver/mapbiomas-alertas/wfs,2026-06-14,,intersection,40.492,0.4511,Alta,Sobreposição de 40.49 ha (0.45%) com Desmatamento.,,2026-06-14T20:50:58.568692+00:00
EV-CAR04-DESM-025,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,MapBiomas Alerta,http://production.alerta.mapbiomas.org/geoserver/mapbiomas-alertas/wfs,2026-06-14,,intersection,3.6971,0.0412,Alta,Sobreposição de 3.70 ha (0.04%) com Desmatamento.,,2026-06-14T20:50:58.591309+00:00
